93,64.8,93.6,104,122.6,132,133,135,135.4,135.9,136.1,136.2,3.8,4.8,5.472,6.204,6.908,7.29,7.354,7.854,7.976,8.066,8.16
96,42.4,55.4,61.8,74,80.6,84.8,85.3,87,91.7,92.5,92.8,3.38,4.176,4.996,5.38,6.084,6.208,6.874,7.384,7.964,8.144,8.236
97,54.6,85.4,102.8,120.2,131,139.7,145.4,148.3,151,152.5,153.1,3.498,4.302,5.286,5.878,6.376,6.398,7.114,7.228,7.718,7.864,7.894
98,64,89.8,103,121.2,123.6,129,131.4,133.4,134.2,134.7,134.8,4.158,5.258,7.062,7.532,7.748,8.068,8.906,9.458,9.782,9.992,10.168
101,71.8,108,117.5,125.6,135.2,140.2,147.4,152.6,154.3,155,155.7,5.02,6.308,7.01,7.874,9.014,10.018,10.178,10.31,10.858,11.132,11.543
102,52,87,104.8,113.2,119.4,121.4,124.1,126.2,127,127.8,128.2,3.566,5.036,5.82,6.212,7.21,7.322,7.654,8.202,8.206,8.214,8.248
103,57.8,70.4,82.2,94.6,105.6,111.6,115.6,118.2,125.4,129.6,132.1,4.128,4.238,4.824,5.464,6.042,6.268,7.122,7.51,7.656,8.002,8.124
106,68.4,86.4,99.4,116.6,123.4,126.4,128.4,132.2,133,133.2,133.8,4.518,5.19,6.068,6.672,7.472,7.992,8.346,8.444,8.844,8.96,9.176
109,69.8,110.2,135,147,148.6,149.4,149.8,152.6,156.6,159.2,163.7,5.024,5.89,6.932,8.054,8.718,9.378,12.764,11.482,11.487,11.98,12.45
113,72.4,96,124,128.6,136.5,138.8,140.6,141.3,142.5,143.2,143.7,4.732,5.342,6.492,7.49,7.608,8.114,8.534,9.114,10.246,10.43,10.484
114,52.8,65.8,79.6,96.6,98.4,99.4,99.9,100.2,100.5,100.6,100.7,3.824,4.814,5.566,6.004,6.61,7.43,7.764,8.504,8.879,9.144,9.222
116,69.6,91.8,105.2,123.4,140.2,145.2,148.2,150,151,151.4,151.8,4.844,5.918,6.482,7.116,8.45,8.556,9.254,9.322,9.368,9.898,10
117,64,90.4,103.6,114.6,120,122,122.6,122.7,122.8,122.9,122.9,4.21,5.322,6.032,6.614,6.87,6.93,7.594,8.296,8.39,8.464,8.564
118,38.8,54.4,60.4,76,87.8,93.2,103.4,121.6,130,134.3,136.8,3.286,4.248,4.608,5.01,5.736,6.764,6.95,7.865,9.284,9.598,10.012
119,65.8,89.4,102.8,110.2,112.4,120.6,123.4,125.3,126.7,126.9,127,4.404,5.824,6.916,7.058,8.39,9.018,9.224,9.634,9.675,9.792,9.988
121,51,69.6,77.2,92.4,104,107.2,109.3,110.6,110.8,110.9,111,3.764,4.93,6.286,6.884,7.788,7.926,8.566,9.228,9.312,9.638,10.068
124,67.2,101,117.2,123.2,128.8,137.6,143.8,146.3,148.2,149.7,150.2,4.204,5.548,6.722,7.176,7.674,7.998,8.808,9.342,10.234,10.35,10.62
125,60.8,91,121.8,134.6,140.6,147,148.2,151,153.2,154.1,155,4.286,5.278,6.742,7.54,8.778,9.6,10.32,11.25,11.348,11.514,11.66
